sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:14:42_498 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2499350568,144.852020,-73.972038,-107.404930,0.127895,0.188640,-0.148642
2,2499367235,144.761108,-73.918571,-107.243721,0.329969,0.212206,-0.037841
3,2499383902,144.688782,-73.878860,-107.110802,0.350032,0.130918,0.009933
4,2499400569,144.657516,-73.843132,-107.000320,0.404026,0.001993,-0.070675
5,2499417236,144.711670,-73.797165,-106.923698,0.345562,-0.107550,-0.078738
6,2499433903,144.761459,-73.747002,-106.824745,0.335466,-0.067643,-0.018646
7,2499450570,144.783096,-73.694168,-106.699806,0.311644,0.005592,0.061030
8,2499467237,144.747620,-73.637817,-106.521812,0.404432,0.052363,-0.024088
9,2499483904,144.644287,-73.594643,-106.269196,0.484074,-0.057695,-0.101274
10,2499500571,144.662613,-73.525276,-106.023285,0.433453,-0.194502,-0.171175
11,2499517238,144.631027,-73.460205,-105.719307,0.479658,-0.274076,-0.026950
12,2499533905,144.574799,-73.385612,-105.392693,0.553420,-0.052888,-0.031497
13,2499550572,144.539993,-73.324158,-105.035904,0.442618,-0.041354,0.084480
14,2499567239,144.479706,-73.257492,-104.639641,0.336637,-0.071541,0.039237
15,2499583906,144.338058,-73.190460,-104.165001,0.255847,-0.230788,-0.106393
16,2499600573,144.309708,-73.107697,-103.719833,0.155781,-0.259590,-0.021630
17,2499617240,144.191437,-73.074516,-103.258423,-0.047888,-0.191290,0.005687
18,2499633907,144.085907,-73.049522,-102.889862,-0.150559,0.110217,-0.057292
19,2499650574,144.020004,-73.024063,-102.578285,-0.061280,0.249297,0.058789
20,2499667241,143.990997,-72.990967,-102.319893,-0.045118,0.144169,-0.058542
21,2499683908,144.012329,-72.942017,-102.105965,-0.097016,0.053330,0.064196
22,2499700575,143.993332,-72.904663,-101.911461,-0.220882,-0.052243,-0.003767
23,2499717242,143.892685,-72.880920,-101.723625,-0.198002,-0.014818,-0.113211
24,2499733909,143.754623,-72.859024,-101.554878,0.024823,-0.029570,-0.103472
25,2499750576,143.640427,-72.833580,-101.394791,0.285810,-0.042060,0.039059
26,2499767243,143.533676,-72.810638,-101.206413,0.418170,-0.094755,0.030823
27,2499783910,143.423981,-72.786270,-100.988495,0.463949,-0.109035,0.017003
28,2499800577,143.306519,-72.778641,-100.738609,0.305014,-0.167529,0.137042
29,2499817244,143.120483,-72.793678,-100.446068,0.293548,-0.063963,0.173291
30,2499833911,142.913116,-72.803925,-100.155830,0.440922,-0.107174,-0.073854
31,2499850578,142.780548,-72.801491,-99.883041,0.548290,-0.193209,-0.012879
32,2499867245,142.681625,-72.814873,-99.619980,0.363662,-0.124650,0.163255
33,2499883912,142.610168,-72.834633,-99.394424,0.049737,0.081398,-0.054117
34,2499900579,142.510391,-72.858589,-99.180710,-0.096732,0.168251,-0.128258
35,2499917246,142.340744,-72.887489,-98.959442,0.023893,0.088586,-0.225491
36,2499933913,142.188141,-72.910973,-98.773743,0.222340,0.081016,-0.218672
37,2499950580,142.119034,-72.918869,-98.655182,0.268383,0.228315,-0.008958
38,2499967247,142.040771,-72.914185,-98.525604,0.074105,0.220500,0.075896
39,2499983914,141.882904,-72.892342,-98.354630,0.140298,0.156461,-0.061694
40,2500000581,141.720352,-72.860390,-98.175613,0.369517,-0.028455,-0.151518
41,2500017248,141.602844,-72.841553,-98.021088,0.547766,-0.183090,-0.174083
42,2500033915,141.541351,-72.846008,-97.888550,0.443872,-0.171637,-0.089238
43,2500050582,141.508209,-72.848396,-97.758530,0.324650,-0.060946,-0.069300
44,2500067249,141.486282,-72.826729,-97.631981,0.385799,-0.053542,-0.069297
45,2500083916,141.449783,-72.779831,-97.496307,0.460841,-0.131133,-0.129649
46,2500100583,141.436615,-72.724144,-97.337242,0.492614,-0.200522,-0.084653
47,2500117250,141.454453,-72.684387,-97.143822,0.412361,-0.317045,0.021338
48,2500133917,141.455261,-72.657333,-96.915237,0.390816,-0.356541,0.094171
49,2500150584,141.447739,-72.632851,-96.660706,0.456590,-0.380638,0.032742
50,2500167251,141.490295,-72.596054,-96.414932,0.485393,-0.393278,0.078819
51,2500183918,141.531357,-72.568367,-96.172379,0.367661,-0.452650,0.089405
52,2500200585,141.582932,-72.546913,-95.976059,0.227420,-0.376467,0.068472
53,2500217252,141.653381,-72.538597,-95.839401,-0.006022,-0.333352,0.009494
54,2500233919,141.717590,-72.537796,-95.750412,-0.094619,-0.264009,-0.062659
55,2500250586,141.790161,-72.526360,-95.704590,-0.030095,-0.220691,-0.004630
56,2500267253,141.848038,-72.521614,-95.674866,0.084548,-0.203796,-0.039598
57,2500283920,141.920364,-72.516663,-95.671440,0.172290,-0.150343,-0.044354
58,2500300587,142.010818,-72.510635,-95.657959,0.143490,-0.093253,-0.029609
59,2500317254,142.089157,-72.509918,-95.635582,0.018787,-0.107530,0.054163
60,2500333921,142.098907,-72.525368,-95.594704,-0.134037,-0.102885,-0.025074
61,2500350588,142.056168,-72.542480,-95.551826,0.032332,0.008806,-0.055712
62,2500367255,142.003769,-72.545952,-95.527763,0.315910,0.011164,-0.060843
63,2500383922,141.953583,-72.549881,-95.496101,0.472415,0.042524,0.039364
64,2500400589,141.924530,-72.569420,-95.484314,0.221799,0.030114,-0.047487
65,2500417256,141.903732,-72.598083,-95.495270,-0.082210,-0.190468,-0.084678
66,2500433923,141.805664,-72.628990,-95.467865,0.086967,-0.194272,-0.039692
67,2500450590,141.682877,-72.658485,-95.437294,0.319536,-0.012227,0.027454
68,2500467257,141.538589,-72.703217,-95.372986,0.232318,-0.138069,-0.000471
69,2500483924,141.410538,-72.717148,-95.281189,0.376428,-0.108248,-0.016355
70,2500500591,141.270905,-72.717201,-95.141525,0.575157,-0.326237,-0.163943
71,2500517258,141.172379,-72.716530,-94.999855,0.707971,-0.313902,-0.144539
72,2500533925,141.146988,-72.724907,-94.856956,0.590451,-0.214622,-0.130630
73,2500550592,141.153534,-72.749718,-94.711327,0.215350,-0.155540,-0.044781
74,2500567259,141.136490,-72.787430,-94.569618,0.080891,-0.097861,-0.017163
75,2500583926,141.114746,-72.820717,-94.444321,0.026784,-0.105159,-0.068489
76,2500600593,141.128342,-72.836906,-94.333763,0.018360,-0.146622,-0.040897
77,2500617260,141.136536,-72.853325,-94.208969,0.052468,0.101326,-0.007952
78,2500633927,141.147110,-72.872444,-94.096054,-0.027219,0.198089,0.017109
79,2500650594,141.132385,-72.889580,-93.989609,-0.041604,0.126958,0.090741
80,2500667261,141.089996,-72.923912,-93.899879,0.179314,-0.003576,0.114414
81,2500683928,141.135727,-72.983864,-93.912674,0.357192,-0.141455,-0.113581
82,2500700595,141.309311,-73.047523,-94.016655,-0.027256,-0.261697,-0.024096
83,2500717262,141.373642,-73.112801,-94.081680,-0.171398,0.035336,0.040111
84,2500733929,141.383133,-73.150612,-94.116692,-0.099855,0.377344,-0.091108
85,2500750596,141.365982,-73.164703,-94.112968,0.133458,0.424867,-0.059177
86,2500767263,141.350647,-73.166084,-94.066338,0.197671,0.217393,0.043943
87,2500783930,141.348404,-73.155396,-93.994827,0.173847,0.025026,0.017751
88,2500800597,141.318924,-73.153137,-93.914246,0.113047,0.010296,-0.069584
89,2500817264,141.240677,-73.173462,-93.824661,0.040745,-0.011130,0.041831
90,2500833931,141.143921,-73.196983,-93.744949,0.100321,0.036322,0.002501
91,2500850598,141.046692,-73.214684,-93.698944,0.149542,0.085954,0.133636
92,2500867265,140.914658,-73.230774,-93.633636,0.385132,0.142765,-0.156838
93,2500883932,140.827469,-73.245766,-93.591393,0.456932,0.250700,-0.124511
94,2500900599,140.754395,-73.273109,-93.561363,0.295886,0.201601,-0.063160
95,2500917266,140.700500,-73.278259,-93.532677,0.231555,-0.041447,-0.065742
96,2500933933,140.608719,-73.272675,-93.470757,0.237182,-0.080373,0.073799
97,2500950600,140.487717,-73.269005,-93.389740,0.234945,0.006868,-0.039378
98,2500967267,140.370636,-73.260422,-93.320999,0.369007,0.001557,-0.062593
99,2500983934,140.272415,-73.259712,-93.260864,0.514660,-0.098427,-0.075588
100,2501000601,140.214859,-73.267075,-93.223022,0.542847,-0.188471,-0.048395
101,2501017268,140.192352,-73.285675,-93.193893,0.468384,-0.192577,-0.024352
102,2501033935,140.171616,-73.309715,-93.163811,0.271404,-0.289743,0.035550
103,2501050602,140.111618,-73.330666,-93.107269,0.262368,-0.235992,0.027602
104,2501067269,140.040833,-73.348312,-93.051018,0.433805,-0.249167,-0.069743
105,2501083936,139.992355,-73.374184,-92.999268,0.609103,-0.254960,-0.106355
106,2501100603,140.001083,-73.404083,-92.956055,0.642431,-0.295416,-0.145555
107,2501117270,140.037109,-73.438866,-92.898315,0.505934,-0.339725,-0.080800
108,2501133937,140.049805,-73.474686,-92.812035,0.316841,-0.306273,0.007408
109,2501150604,140.027603,-73.501740,-92.675140,0.277856,-0.184804,-0.005713
110,2501167271,139.990784,-73.518715,-92.516830,0.365179,-0.185560,-0.024467
111,2501183938,139.966064,-73.526520,-92.369385,0.405968,-0.176659,-0.036357
112,2501200605,139.936554,-73.536293,-92.200974,0.240314,-0.049432,-0.044133
113,2501217272,139.921936,-73.544998,-92.042641,0.137026,-0.040930,-0.057367
114,2501233939,139.909821,-73.555641,-91.913887,0.132136,-0.102115,0.011452
115,2501250606,139.890167,-73.578842,-91.797638,0.162060,-0.145076,0.133743
116,2501267273,139.868317,-73.609222,-91.691971,0.099933,-0.174276,0.092779
117,2501283940,139.839386,-73.648895,-91.605606,0.063021,-0.147846,0.027293
118,2501300607,139.810425,-73.693497,-91.560165,0.068538,-0.096450,-0.082893
119,2501317274,139.776428,-73.738579,-91.542908,0.115623,-0.034784,-0.052321
120,2501333941,139.736954,-73.782745,-91.530663,0.133455,-0.034992,0.002632
121,2501350608,139.705185,-73.825760,-91.525574,0.190047,-0.087168,-0.057104
122,2501367275,139.697708,-73.867752,-91.539886,0.217829,-0.123081,-0.048017
123,2501383942,139.711655,-73.911514,-91.593391,0.137605,-0.093311,-0.043710
124,2501400609,139.693405,-73.949944,-91.636124,0.084443,-0.085986,-0.030836
125,2501417276,139.670090,-73.978897,-91.681252,0.152052,-0.090358,-0.063782
126,2501433943,139.663818,-73.998230,-91.738419,0.181889,-0.097472,-0.061934
127,2501450610,139.662247,-74.015862,-91.796150,0.122540,-0.092030,-0.093554
128,2501467277,139.648697,-74.030479,-91.848625,0.089204,-0.077092,-0.023336
129,2501483944,139.627884,-74.042068,-91.905663,0.236086,-0.119258,-0.042796
130,2501500611,139.646820,-74.044128,-91.988548,0.341746,-0.074165,-0.099910
131,2501517278,139.716995,-74.040192,-92.091705,0.185993,-0.035417,-0.073003
132,2501533945,139.782089,-74.031380,-92.179886,-0.081925,-0.092123,0.084961
133,2501550612,139.778503,-74.018532,-92.243866,-0.120526,-0.136032,0.102021
134,2501567279,139.727966,-74.011230,-92.319977,0.087007,-0.193825,-0.007842
135,2501583946,139.705887,-74.017151,-92.430191,0.270868,-0.212852,-0.042672
136,2501600613,139.705856,-74.025421,-92.543747,0.366374,-0.171733,-0.057681
137,2501617280,139.689453,-74.031105,-92.629219,0.488882,-0.174150,-0.043000
138,2501633947,139.685257,-74.037201,-92.711021,0.602685,-0.237654,-0.080283
139,2501650614,139.714859,-74.048355,-92.788521,0.559531,-0.258331,-0.034781
140,2501667281,139.742661,-74.064919,-92.861382,0.345385,-0.189959,-0.015394
141,2501683948,139.714294,-74.080673,-92.882095,0.237743,-0.085523,-0.012170
142,2501700615,139.664886,-74.087212,-92.880539,0.327548,-0.066107,-0.102204
143,2501717282,139.656723,-74.087357,-92.894905,0.372048,-0.094885,-0.105039
144,2501733949,139.661133,-74.084976,-92.897469,0.235913,-0.078138,-0.079185
145,2501750616,139.638184,-74.074234,-92.854156,0.102738,0.005906,-0.018607
146,2501767283,139.585419,-74.050224,-92.771278,0.132318,-0.025773,-0.025186
147,2501783950,139.538742,-74.020531,-92.695892,0.280724,-0.069827,-0.045222
148,2501800617,139.536926,-73.994873,-92.638573,0.387495,-0.128994,0.002269
149,2501817284,139.558456,-73.980629,-92.599724,0.263989,-0.135636,0.048099
150,2501833951,139.534027,-73.976089,-92.540100,0.080005,-0.107722,0.034207
151,2501850618,139.473557,-73.961746,-92.468781,0.113790,-0.030184,-0.001668
152,2501867285,139.431366,-73.935715,-92.420120,0.210315,0.008740,-0.088917
153,2501883952,139.393295,-73.906784,-92.387260,0.219428,0.024398,-0.069972
154,2501900619,139.324982,-73.882408,-92.324974,0.280158,-0.118077,-0.028494
155,2501917286,139.241577,-73.865120,-92.245804,0.417713,-0.257884,0.011691
156,2501933953,139.159515,-73.853767,-92.154877,0.407373,-0.248610,-0.025499
157,2501950620,139.071686,-73.847740,-92.047615,0.311588,-0.140480,0.017479
158,2501967287,138.953491,-73.841377,-91.910690,0.159030,-0.177193,0.034057
159,2501983954,138.811478,-73.826950,-91.774597,0.131726,-0.106467,-0.042750
160,2502000621,138.676331,-73.801414,-91.671089,0.221157,-0.054091,-0.085626
161,2502017288,138.552841,-73.774979,-91.574348,0.356251,-0.067154,-0.086395
162,2502033955,138.451050,-73.752129,-91.447166,0.440381,-0.148863,0.049418
163,2502050622,138.361023,-73.743027,-91.317810,0.470218,-0.236697,0.052665
164,2502067289,138.296646,-73.740265,-91.197014,0.403991,-0.244024,0.043847
165,2502083956,138.227631,-73.739784,-91.091736,0.290322,-0.133768,-0.012844
166,2502100623,138.151978,-73.748344,-90.986481,0.296745,-0.145143,0.020741
167,2502117290,138.078949,-73.762360,-90.889046,0.375846,-0.144589,-0.028616
168,2502133957,138.056778,-73.769753,-90.826981,0.488557,-0.002197,-0.069004
169,2502150624,138.074142,-73.771500,-90.784958,0.462120,0.051554,-0.085576
170,2502167291,138.078110,-73.765182,-90.699409,0.230694,0.008242,-0.049559
171,2502183958,138.032043,-73.755325,-90.559433,0.119828,-0.094911,-0.023919
172,2502200625,137.979172,-73.742012,-90.424263,0.282539,-0.098157,-0.067055
173,2502217292,137.948151,-73.726616,-90.297485,0.390013,-0.048492,-0.090180
174,2502233959,137.948578,-73.712822,-90.176155,0.314556,-0.014302,-0.053808
175,2502250626,137.945267,-73.698975,-90.049576,0.124066,-0.148137,-0.029868
176,2502267293,137.930145,-73.684135,-89.940636,0.058802,-0.151677,0.004519
177,2502283960,137.881531,-73.664406,-89.826584,0.030687,-0.064353,0.004116
178,2502300627,137.811493,-73.646370,-89.708481,0.111282,-0.052943,-0.031520
179,2502317294,137.743607,-73.631897,-89.601631,0.232444,-0.027987,-0.030944
180,2502333961,137.718140,-73.615112,-89.526299,0.279407,-0.032488,-0.087782
181,2502350628,137.716400,-73.596107,-89.469078,0.300639,-0.024070,-0.051882
182,2502367295,137.705795,-73.579140,-89.390221,0.271927,-0.079219,0.043523
183,2502383962,137.668518,-73.563782,-89.291153,0.275436,-0.098473,0.072706
184,2502400629,137.615906,-73.550514,-89.182755,0.253740,-0.078381,0.003121
185,2502417296,137.579956,-73.536125,-89.086426,0.264028,-0.056922,-0.051656
186,2502433963,137.549545,-73.523911,-88.993423,0.169411,-0.103721,0.023251
187,2502450630,137.504776,-73.520279,-88.902740,0.097318,-0.133646,0.083463
188,2502467297,137.441788,-73.528130,-88.832275,0.119883,-0.177626,0.020854
189,2502483964,137.385300,-73.545280,-88.781654,0.236359,-0.119420,-0.007772
190,2502500631,137.341202,-73.559944,-88.748352,0.249146,-0.038845,-0.036824
191,2502517298,137.276657,-73.575745,-88.699219,0.189978,-0.007758,0.028089
192,2502533965,137.208023,-73.592529,-88.650742,0.152727,-0.093108,0.007542
193,2502550632,137.142303,-73.613243,-88.610054,0.137568,-0.076633,-0.087060
194,2502567299,137.088104,-73.634842,-88.585480,0.196619,0.031993,-0.099190
195,2502583966,137.043777,-73.648720,-88.565643,0.211884,0.002391,-0.046060
196,2502600633,136.992310,-73.654182,-88.526611,0.228306,-0.070054,-0.057757
197,2502617300,136.933624,-73.657249,-88.481033,0.224327,-0.125499,-0.022185
198,2502633967,136.856628,-73.663307,-88.431297,0.218462,-0.121897,-0.018538
199,2502650634,136.771439,-73.668854,-88.376160,0.211024,-0.069896,-0.020000
200,2502667301,136.691299,-73.680054,-88.327644,0.285597,-0.075275,-0.006226
