sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:15:10_478 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2527367795,6.943099,20.316286,85.167282,0.055403,-0.014832,-0.470826
2,2527384462,6.941970,20.312468,85.162041,0.060397,-0.034357,-0.464705
3,2527401129,6.940664,20.310974,85.158463,0.047554,-0.017396,-0.460417
4,2527417796,6.943391,20.312107,85.158325,0.013836,-0.021877,-0.455614
5,2527434463,6.946753,20.313778,85.151772,0.057191,-0.017873,-0.473400
6,2527451130,6.949359,20.315601,85.150864,0.046437,-0.034644,-0.474866
7,2527467797,6.950468,20.316896,85.147522,0.034568,-0.011583,-0.462984
8,2527484464,6.953363,20.319868,85.144592,0.040663,-0.025750,-0.436737
9,2527501131,6.955342,20.322170,85.142876,0.046563,-0.017280,-0.449772
10,2527517798,6.958493,20.325186,85.142822,0.021877,-0.001893,-0.452931
11,2527534465,6.963132,20.326145,85.145988,0.037448,-0.004202,-0.464717
12,2527551132,6.967180,20.327808,85.150627,0.036247,-0.016495,-0.465935
13,2527567799,6.969047,20.329479,85.152977,0.053029,-0.028837,-0.465457
14,2527584466,6.970459,20.330702,85.150604,0.048526,-0.018423,-0.468095
15,2527601133,6.971832,20.333235,85.152206,0.055600,-0.012312,-0.454652
16,2527617800,6.973131,20.335817,85.153961,0.045285,-0.022592,-0.438119
17,2527634467,6.973137,20.339628,85.153656,0.054023,-0.017275,-0.451410
18,2527651134,6.975766,20.340702,85.151711,0.046315,-0.002688,-0.466019
19,2527667801,6.976122,20.341042,85.150192,0.041008,-0.008831,-0.466177
20,2527684468,6.976722,20.341017,85.149513,0.049515,-0.025630,-0.485875
21,2527701135,6.974595,20.340059,85.146927,0.054646,-0.010274,-0.472090
22,2527717802,6.974118,20.340666,85.139992,0.032356,-0.027320,-0.462210
23,2527734469,6.974081,20.343405,85.141106,0.042863,-0.009690,-0.474121
24,2527751136,6.976366,20.347448,85.141670,0.057386,-0.011860,-0.477612
25,2527767803,6.977448,20.349695,85.139359,0.052729,-0.018001,-0.463511
26,2527784470,6.977489,20.350578,85.140457,0.053296,-0.010646,-0.447537
27,2527801137,6.977955,20.350174,85.135551,0.045701,-0.018259,-0.450369
28,2527817804,6.978249,20.349617,85.129128,0.044333,-0.033942,-0.451546
29,2527834471,6.978307,20.351467,85.122177,0.032276,-0.020994,-0.475266
30,2527851138,6.980309,20.353916,85.121567,0.025101,-0.009759,-0.449311
31,2527867805,6.981563,20.358120,85.121437,0.042230,-0.037711,-0.462899
32,2527884472,6.982290,20.364264,85.123901,0.048328,-0.009861,-0.476211
33,2527901139,6.986142,20.370451,85.127350,0.053279,-0.018249,-0.485707
34,2527917806,6.994791,20.382710,85.128853,0.031140,-0.060689,-0.494303
35,2527934473,7.012786,20.406914,85.133400,0.018966,-0.049655,-0.473892
36,2527951140,7.031631,20.436260,85.144707,0.048792,-0.027324,-0.452232
37,2527967807,7.050864,20.465498,85.153008,0.077600,-0.028762,-0.463199
38,2527984474,7.073516,20.498327,85.165413,-0.009241,-0.002903,-0.451126
39,2528001141,7.103311,20.534510,85.175217,0.041778,0.015519,-0.461100
40,2528017808,7.131139,20.567978,85.188255,0.056306,-0.007978,-0.443137
41,2528034475,7.153465,20.593054,85.198227,0.067255,-0.002855,-0.458621
42,2528051142,7.176732,20.616438,85.204163,0.013903,0.022498,-0.472109
43,2528067809,7.200538,20.640673,85.216507,0.026693,0.014231,-0.448776
44,2528084476,7.222915,20.659830,85.230484,0.091227,-0.012404,-0.468916
45,2528101143,7.241652,20.676014,85.241875,0.047339,-0.038435,-0.439038
46,2528117810,7.272342,20.697296,85.247063,-0.004858,-0.002453,-0.433000
47,2528134477,7.311973,20.720287,85.264610,0.004212,-0.013417,-0.420842
48,2528151144,7.350847,20.742521,85.289169,0.059089,-0.009111,-0.465107
49,2528167811,7.387538,20.764124,85.310837,0.051389,-0.023294,-0.460436
50,2528184478,7.424377,20.785414,85.332497,0.038798,-0.005987,-0.477715
51,2528201145,7.458921,20.808558,85.357864,0.061279,-0.024684,-0.464355
52,2528217812,7.491330,20.831266,85.381065,0.061301,-0.012741,-0.471048
53,2528234479,7.520612,20.852968,85.402794,0.066239,-0.031708,-0.457620
54,2528251146,7.550281,20.873449,85.422531,0.071483,-0.022608,-0.450531
55,2528267813,7.579357,20.898300,85.438675,0.048332,-0.025048,-0.470605
56,2528284480,7.605015,20.922110,85.463196,0.057694,-0.028421,-0.462661
57,2528301147,7.621204,20.941607,85.478104,0.094457,-0.012300,-0.483140
58,2528317814,7.630330,20.955725,85.487221,0.076131,-0.006157,-0.482315
59,2528334481,7.633421,20.963148,85.491714,0.053254,0.005718,-0.446566
60,2528351148,7.630455,20.964733,85.492561,0.065253,-0.021613,-0.440501
61,2528367815,7.623264,20.962645,85.492134,0.070719,-0.033779,-0.467660
62,2528384482,7.612785,20.960882,85.491699,0.061392,-0.038974,-0.469494
63,2528401149,7.605576,20.962069,85.492943,0.043599,-0.024109,-0.462815
64,2528417816,7.601054,20.966389,85.493202,0.030154,-0.008371,-0.447366
65,2528434483,7.595271,20.968672,85.493881,0.049059,-0.004641,-0.458318
66,2528451150,7.588035,20.969397,85.487923,0.068101,-0.015927,-0.467874
67,2528467817,7.584409,20.967817,85.485649,0.021260,-0.032594,-0.464908
68,2528484484,7.585006,20.969231,85.490280,0.021162,-0.024813,-0.469232
69,2528501151,7.586181,20.971258,85.491440,0.056632,-0.011031,-0.467149
70,2528517818,7.585953,20.973875,85.491119,0.071463,-0.038661,-0.482750
71,2528534485,7.584204,20.976460,85.489693,0.060014,-0.031836,-0.473742
72,2528551152,7.583243,20.981237,85.486259,0.039501,-0.025652,-0.474244
73,2528567819,7.581916,20.985626,85.483353,0.050303,-0.030895,-0.446711
74,2528584486,7.579145,20.990896,85.479408,0.064589,-0.013490,-0.447687
